PropertyGFATotal,PropertyGFABuilding(s),NumberofFloors,NumberofBuildings,YearBuilt,PrimaryPropertyType,LargestPropertyUseTypeGFA,ZipCode,Neighborhood,Latitude,Longitude,ENERGYSTARScore,log_TotalGHGEmissions,log_SiteEnergyUse_kBtu,BuildingAge,AvgFloorArea,GFATotal_per_Building,PrimaryPropertyType_grouped,log_PropertyGFATotal,log_LargestPropertyUseTypeGFA,log_AvgFloorArea
21600,21600,3.0,1.0,1928,University,21600.0,98121.0,DOWNTOWN,47.61789,-122.33573,67.0,1.99197551589856,12.687697258506624,88,7200.0,21600.0,University,9.980494888896912,9.980494888896912,8.881975184248867
25735,25735,1.0,1.0,1996,Retail Store,25691.0,98105.0,NORTHEAST,47.6646,-122.29932,82.0,2.9496883350525844,13.971997827267511,20,25735.0,25735.0,Retail Store,10.155646068918863,10.153934938377683,10.155646068918863
20028,20028,2.0,1.0,1929,Small- and Mid-Sized Office,20028.0,98104.0,DOWNTOWN,47.6026,-122.33232,95.0,2.72261035243354,13.145686088791292,87,10014.0,20028.0,Small- and Mid-Sized Office,9.904936502301233,9.904936502301233,9.211839248099919
26840,26840,5.0,1.0,1906,Small- and Mid-Sized Office,29040.0,98104.0,DOWNTOWN,47.60427,-122.33385,24.0,2.699345760472064,14.503287343734216,110,5368.0,26840.0,Small- and Mid-Sized Office,10.197685848215706,10.27646390360756,8.58839695042257
26270,26270,2.0,1.0,1931,Retail Store,26270.0,98121.0,DOWNTOWN,47.61652,-122.34854,32.0,3.549042508926137,14.260492969853756,85,13135.0,26270.0,Retail Store,10.176220948190334,10.176220948190334,9.48311183169221
57800,57800,5.0,1.0,1990,Hotel,57800.0,98121.0,DOWNTOWN,47.61471,-122.34525,87.0,4.209011637200227,14.708764468169358,26,11560.0,57800.0,Hotel,10.96476135554887,10.96476135554887,9.355392643675321
31890,31890,2.0,1.0,1955,Other,31160.0,98101.0,DOWNTOWN,47.61319,-122.33695,2.0,2.6354795082673745,14.435132625321366,61,15945.0,31890.0,Other,10.37007911730487,10.346922591895922,9.67696329306244
22381,22381,3.0,1.0,1923,Restaurant,22381.0,98101.0,DOWNTOWN,47.61332,-122.33904,67.0,4.850310035174197,15.077648727317936,93,7460.333333333333,22381.0,Other,10.016012343377973,10.016012343377973,8.917489408237152
26670,26670,4.0,1.0,1952,Medical Office,26670.0,98121.0,DOWNTOWN,47.6146,-122.34217,51.0,2.470638677990296,14.255833912747264,64,6667.5,26670.0,Medical Office,10.191332111786215,10.191332111786215,8.80515022606245
37740,37740,2.0,1.0,1922,Other,38939.0,98121.0,DOWNTOWN,47.61607,-122.34449,67.0,4.466137977292534,14.945583722279991,94,18870.0,37740.0,Other,10.538502315656821,10.56977727892619,9.845381631129095
44416,44416,4.0,1.0,1967,Hotel,52668.0,98121.0,DOWNTOWN,47.61822,-122.34132,61.0,4.3010876921685295,14.797426189403204,49,11104.0,44416.0,Hotel,10.701377558022253,10.871782326157078,9.315150736328528
45991,45991,2.0,1.0,1928,Worship Facility,45991.0,98103.0,Northwest,47.66476,-122.35248,77.0,3.6224725219163374,13.951383862421304,88,22995.5,45991.0,Worship Facility,10.736222747303128,10.736222747303128,10.043097309418618
21499,21499,3.0,1.0,1921,Residence Hall,21499.0,98105.0,NORTHEAST,47.66282,-122.305,85.0,1.6524974018945473,13.313201378616585,95,7166.333333333333,21499.0,Residence Hall,9.975808214115753,9.975808214115753,8.877288944377064
20384,20384,2.0,1.0,1989,Small- and Mid-Sized Office,25021.0,98105.0,NORTHEAST,47.66461,-122.30142,16.0,2.702032128776647,14.39832509061163,27,10192.0,20384.0,Small- and Mid-Sized Office,9.922554615253354,10.127510716877346,9.229456489168413
24100,24100,2.0,2.0,1961,Hotel,30910.0,98105.0,NORTHEAST,47.66355,-122.30123,91.0,3.8622023104441903,14.277643135344748,55,12050.0,12050.0,Hotel,10.090008612393838,10.338867386592495,9.396902923027392
61180,48220,7.0,1.0,1960,Hotel,61180.0,98121.0,DOWNTOWN,47.61798,-122.33974,24.0,4.846546505563361,15.200282323022863,56,8740.0,61180.0,Hotel,11.021591962782166,11.021591962782166,9.075779878580487
23931,23931,2.0,1.0,1910,Worship Facility,23931.0,98115.0,Northwest,47.67572,-122.3285,88.0,2.9785861147190205,13.115295080747975,106,11965.5,23931.0,Worship Facility,10.082971754509922,10.082971754509922,9.38986635813467
21393,21393,2.0,1.0,1948,Worship Facility,21393.0,98103.0,Northwest,47.67491,-122.33316,57.0,3.5157158351047477,13.64823016360409,68,10696.5,21393.0,Worship Facility,9.970865787866076,9.970865787866076,9.277765348290972
20960,20960,3.0,1.0,1930,Residence Hall,20960.0,98105.0,NORTHEAST,47.66159,-122.30441,67.0,4.182202802743785,14.221182811283054,86,6986.666666666667,20960.0,Residence Hall,9.950418847220561,9.950418847220561,8.851901969295772
28800,28800,3.0,1.0,1910,University,28800.0,98121.0,DOWNTOWN,47.61679,-122.33619,67.0,2.2460147415056517,13.482911137300755,106,9600.0,28800.0,University,10.268165387743457,10.268165387743457,9.169622538697624
21600,21600,2.0,1.0,1957,K-12 School,21600.0,98121.0,DOWNTOWN,47.61718,-122.33654,72.0,3.685624161393264,14.04784197130834,59,10800.0,21600.0,K-12 School,9.980494888896912,9.980494888896912,9.287394001418473
22860,22860,3.0,1.0,1995,K-12 School,22860.0,98101.0,DOWNTOWN,47.61687,-122.33533,43.0,2.0135687975291283,13.744175257631762,21,7620.0,22860.0,K-12 School,10.03718768092397,10.03718768092397,8.938662873666118
21732,21732,2.0,1.0,1965,Worship Facility,21732.0,98118.0,SOUTHEAST,47.54362,-122.2667,2.0,3.202339856228101,13.66511221472498,51,10866.0,21732.0,Worship Facility,9.986587121705702,9.986587121705702,9.293485953062852
32960,32960,3.0,1.0,1900,Retail Store,32960.0,98105.0,NORTHEAST,47.66033,-122.31348,71.0,1.897619859927532,13.609275744802977,116,10986.666666666666,32960.0,Retail Store,10.403080323368991,10.403080323368991,9.304528710630757
20571,20571,3.0,1.0,1930,Hotel,20571.0,98105.0,NORTHEAST,47.66023,-122.31581,72.0,1.790091412127358,13.481827390770418,86,6857.0,20571.0,Hotel,9.931686206894806,9.931686206894806,8.833171133022866
31386,31386,2.0,1.0,2000,Worship Facility,30000.0,98115.0,NORTHEAST,47.68752,-122.29852,52.0,3.337192051686243,13.936116383575492,16,15693.0,31386.0,Worship Facility,10.354149073430555,10.308985993422082,9.661033752687418
84116,57619,2.0,1.0,2012,Small- and Mid-Sized Office,55000.0,98103.0,LAKE UNION,47.64834,-122.33188,68.0,3.048324723673161,14.78692667736905,4,42058.0,84116.0,Small- and Mid-Sized Office,11.339963965842596,10.915106645867503,10.646828673415323
36240,36240,11.0,1.0,1926,Hotel,36240.0,98101.0,DOWNTOWN,47.60721,-122.33451,98.0,4.803283067577055,14.580033418865964,90,3294.5454545454545,36240.0,Hotel,10.497946353595198,10.497946353595198,8.100326973310855
39320,32360,3.0,1.0,1922,Other,39320.0,98101.0,DOWNTOWN,47.60781,-122.33186,67.0,4.986888900366255,14.928313843106451,94,13106.666666666666,39320.0,Other,10.579514006287654,10.579514006287654,9.480952579732369
