PropertyGFATotal,PropertyGFABuilding(s),NumberofFloors,NumberofBuildings,YearBuilt,PrimaryPropertyType,LargestPropertyUseTypeGFA,ZipCode,Neighborhood,Latitude,Longitude,ENERGYSTARScore,log_TotalGHGEmissions,log_SiteEnergyUse_kBtu
31020,31020,2.0,1.0,1955,Restaurant,31020.0,98121.0,DOWNTOWN,47.61468,-122.34925,67.0,5.340418542566672,15.41894005597386
64630,64630,3.0,1.0,1942,Small- and Mid-Sized Office,64630.0,98121.0,DOWNTOWN,47.61683,-122.35176,96.0,2.3813962734183356,14.15788844684215
20920,20920,2.0,1.0,1948,Worship Facility,20920.0,98121.0,DOWNTOWN,47.61636,-122.35094,15.0,3.7656089869726097,13.856757582146624
22128,22128,2.0,1.0,1926,Worship Facility,22128.0,98116.0,SOUTHWEST,47.57384,-122.41182,94.0,3.267284964075888,13.318523221073114
48139,48139,1.0,1.0,1968,Retail Store,40000.0,98133.0,NORTHWEST,47.72736,-122.34579,98.0,3.219675505038765,13.66380079251352
28923,28923,2.0,1.0,1992,University,28800.0,98121.0,DOWNTOWN,47.61741,-122.33491,67.0,2.7893229212309465,12.99296720877201
21600,21600,3.0,1.0,1928,University,21600.0,98121.0,DOWNTOWN,47.61789,-122.33573,67.0,1.9919755158985601,12.687697258506624
25735,25735,1.0,1.0,1996,Retail Store,25691.0,98105.0,NORTHEAST,47.6646,-122.29932,82.0,2.9496883350525844,13.971997827267511
20028,20028,2.0,1.0,1929,Small- and Mid-Sized Office,20028.0,98104.0,DOWNTOWN,47.6026,-122.33232,95.0,2.7226103524335397,13.145686088791292
26840,26840,5.0,1.0,1906,Small- and Mid-Sized Office,29040.0,98104.0,DOWNTOWN,47.60427,-122.33385,24.0,2.6993457604720636,14.503287343734216
26270,26270,2.0,1.0,1931,Retail Store,26270.0,98121.0,DOWNTOWN,47.61652,-122.34854,32.0,3.549042508926137,14.260492969853756
57800,57800,5.0,1.0,1990,Hotel,57800.0,98121.0,DOWNTOWN,47.61471,-122.34525,87.0,4.209011637200227,14.708764468169358
31890,31890,2.0,1.0,1955,Other,31160.0,98101.0,DOWNTOWN,47.61319,-122.33695,2.0,2.6354795082673745,14.435132625321366
22381,22381,3.0,1.0,1923,Restaurant,22381.0,98101.0,DOWNTOWN,47.61332,-122.33904,67.0,4.850310035174197,15.077648727317936
26670,26670,4.0,1.0,1952,Medical Office,26670.0,98121.0,DOWNTOWN,47.6146,-122.34217,51.0,2.4706386779902956,14.255833912747264
37740,37740,2.0,1.0,1922,Other,38939.0,98121.0,DOWNTOWN,47.61607,-122.34449,67.0,4.466137977292534,14.945583722279993
44416,44416,4.0,1.0,1967,Hotel,52668.0,98121.0,DOWNTOWN,47.61822,-122.34132,61.0,4.3010876921685295,14.797426189403204
45991,45991,2.0,1.0,1928,Worship Facility,45991.0,98103.0,Northwest,47.66476,-122.35248,77.0,3.6224725219163374,13.951383862421304
21499,21499,3.0,1.0,1921,Residence Hall,21499.0,98105.0,NORTHEAST,47.66282,-122.305,85.0,1.6524974018945473,13.313201378616583
20384,20384,2.0,1.0,1989,Small- and Mid-Sized Office,25021.0,98105.0,NORTHEAST,47.66461,-122.30142,16.0,2.702032128776647,14.39832509061163
24100,24100,2.0,2.0,1961,Hotel,30910.0,98105.0,NORTHEAST,47.66355,-122.30123,91.0,3.8622023104441903,14.277643135344748
61180,48220,7.0,1.0,1960,Hotel,61180.0,98121.0,DOWNTOWN,47.61798,-122.33974,24.0,4.846546505563361,15.200282323022863
23931,23931,2.0,1.0,1910,Worship Facility,23931.0,98115.0,Northwest,47.67572,-122.3285,88.0,2.9785861147190205,13.115295080747975
21393,21393,2.0,1.0,1948,Worship Facility,21393.0,98103.0,Northwest,47.67491,-122.33316,57.0,3.5157158351047473,13.64823016360409
20960,20960,3.0,1.0,1930,Residence Hall,20960.0,98105.0,NORTHEAST,47.66159,-122.30441,67.0,4.182202802743785,14.221182811283054
28800,28800,3.0,1.0,1910,University,28800.0,98121.0,DOWNTOWN,47.61679,-122.33619,67.0,2.2460147415056513,13.482911137300757
21600,21600,2.0,1.0,1957,K-12 School,21600.0,98121.0,DOWNTOWN,47.61718,-122.33654,72.0,3.6856241613932634,14.04784197130834
22860,22860,3.0,1.0,1995,K-12 School,22860.0,98101.0,DOWNTOWN,47.61687,-122.33533,43.0,2.0135687975291283,13.744175257631762
21732,21732,2.0,1.0,1965,Worship Facility,21732.0,98118.0,SOUTHEAST,47.54362,-122.2667,2.0,3.202339856228101,13.66511221472498
32960,32960,3.0,1.0,1900,Retail Store,32960.0,98105.0,NORTHEAST,47.66033,-122.31348,71.0,1.8976198599275322,13.609275744802975
20571,20571,3.0,1.0,1930,Hotel,20571.0,98105.0,NORTHEAST,47.66023,-122.31581,72.0,1.7900914121273581,13.481827390770418
31386,31386,2.0,1.0,2000,Worship Facility,30000.0,98115.0,NORTHEAST,47.68752,-122.29852,52.0,3.337192051686243,13.936116383575492
84116,57619,2.0,1.0,2012,Small- and Mid-Sized Office,55000.0,98103.0,LAKE UNION,47.64834,-122.33188,68.0,3.0483247236731614,14.78692667736905
36240,36240,11.0,1.0,1926,Hotel,36240.0,98101.0,DOWNTOWN,47.60721,-122.33451,98.0,4.803283067577055,14.580033418865964
39320,32360,3.0,1.0,1922,Other,39320.0,98101.0,DOWNTOWN,47.60781,-122.33186,67.0,4.986888900366255,14.928313843106453
41536,41536,5.0,1.0,1908,Other,41536.0,98104.0,DOWNTOWN,47.60547,-122.33118,67.0,2.9992261628082466,14.82170305230318
35820,35820,6.0,1.0,1909,Hotel,35820.0,98104.0,DOWNTOWN,47.60223,-122.32889,94.0,4.879615031657852,15.015958356751847
33462,33462,2.0,1.0,1922,K-12 School,57896.0,98116.0,SOUTHWEST,47.56542,-122.38502,76.0,5.226982468943414,15.19860392636903
49744,49744,3.0,1.0,1965,K-12 School,49744.0,98116.0,SOUTHWEST,47.56504,-122.38455,98.0,4.503026712319388,14.555940338317887
25762,25762,2.0,1.0,1946,Supermarket / Grocery Store,25762.0,98126.0,SOUTHWEST,47.56197,-122.38109,100.0,2.659559991941776,14.46071979548618
43387,43387,3.0,1.0,1981,Small- and Mid-Sized Office,45000.0,98126.0,SOUTHWEST,47.56175,-122.37835,60.0,3.5596246182566738,14.803848797835942
37500,37500,1.0,1.0,1985,Warehouse,61419.0,98108.0,GREATER DUWAMISH,47.552,-122.32262,36.0,2.6504210882655737,14.409669860520685
39000,39000,2.0,1.0,1990,Medical Office,39000.0,98122.0,CENTRAL,47.60132,-122.30477,25.0,3.5530597309714014,14.776869775240115
25480,25480,1.0,1.0,1953,Refrigerated Warehouse,25480.0,98144.0,GREATER DUWAMISH,47.58528,-122.30595,67.0,1.8196988379172965,13.516144745673657
31000,31000,2.0,1.0,1970,Warehouse,31000.0,98144.0,GREATER DUWAMISH,47.58482,-122.30501,67.0,3.0411835364579085,14.64887381689445
39170,39170,2.0,1.0,1970,Small- and Mid-Sized Office,35500.0,98144.0,SOUTHEAST,47.5859,-122.29957,81.0,4.159820144181012,14.571949271557697
36070,36070,1.0,1.0,1977,Other,66597.0,98134.0,SOUTHEAST,47.58476,-122.29765,67.0,2.402430427963762,14.181310207367847
20047,20047,2.0,1.0,1963,Other,20047.0,98144.0,SOUTHEAST,47.56979,-122.29234,67.0,0.598836501088704,11.673677721219418
20000,20000,1.0,1.0,1914,Retail Store,20000.0,98134.0,GREATER DUWAMISH,47.57403,-122.3336,75.0,1.5871923034867808,13.231871716436942
32400,32400,2.0,1.0,1955,Warehouse,32700.0,98134.0,GREATER DUWAMISH,47.5741,-122.32541,91.0,1.0043016091968684,12.42366883866523
26680,26680,1.0,1.0,1955,Distribution Center,33987.0,98134.0,GREATER DUWAMISH,47.56489,-122.3409,92.0,0.9932517730102833,12.402951081228947
31521,31521,1.0,1.0,1953,Warehouse,31521.0,98106.0,DELRIDGE,47.56447,-122.35335,6.0,4.138520924554929,14.396691564576901
21900,21900,1.0,1.0,1952,Self-Storage Facility,21900.0,98134.0,GREATER DUWAMISH,47.56487,-122.34181,67.0,4.199455046624718,14.103421572956712
35579,35579,1.0,1.0,1998,Distribution Center,35579.0,98134.0,GREATER DUWAMISH,47.5678,-122.33622,72.0,3.6901286735143684,13.907768128749533
49950,49950,1.0,1.0,1975,Distribution Center,49950.0,98134.0,GREATER DUWAMISH,47.57382,-122.32672,77.0,0.9820784724121582,12.384096242228415
22612,22612,2.0,1.0,1947,Worship Facility,22612.0,98199.0,MAGNOLIA / QUEEN ANNE,47.63927,-122.4032,87.0,3.484312288372662,13.50261024522075
50368,50368,2.0,2.0,1988,Self-Storage Facility,50369.0,98125.0,NORTH,47.72356,-122.29378,67.0,3.3870984572826535,13.532187222402163
32691,32691,3.0,1.0,1922,K-12 School,33550.0,98112.0,MAGNOLIA / QUEEN ANNE,47.63111,-122.35814,99.0,3.42816382989197,13.787102145645433
24227,24227,2.0,1.0,1963,Worship Facility,26210.0,98119.0,MAGNOLIA / QUEEN ANNE,47.63159,-122.35839,55.0,3.883417748417812,13.898636929332987
27000,27000,1.0,1.0,1956,Distribution Center,27000.0,98108.0,GREATER DUWAMISH,47.54365,-122.30785,61.0,2.9882040071331994,13.386716911961434
21118,21118,3.0,1.0,1988,Residence Hall,21118.0,98103.0,LAKE UNION,47.65014,-122.34424,49.0,3.7013019741124933,14.124045257739805
20500,20500,2.0,1.0,1900,Small- and Mid-Sized Office,20500.0,98103.0,LAKE UNION,47.64866,-122.34509,48.0,2.50715725872282,14.097812527331554
25521,25521,2.0,1.0,1930,Worship Facility,25521.0,98115.0,NORTHEAST,47.67485,-122.29284,82.0,2.8015405441895487,13.313293296532503
23190,23190,1.0,1.0,1986,K-12 School,23190.0,98115.0,NORTHEAST,47.67485,-122.29284,79.0,4.236133434493478,14.3493784087931
20678,20678,1.0,1.0,1960,Small- and Mid-Sized Office,23100.0,98103.0,NORTHWEST,47.68602,-122.35674,98.0,3.515418525752178,13.554579466014257
28820,28820,3.0,1.0,1922,K-12 School,33780.0,98103.0,NORTHWEST,47.68642,-122.35707,43.0,4.67702562308852,14.769399341033747
27876,27876,2.0,1.0,1954,Worship Facility,44816.0,98178.0,SOUTHEAST,47.51042,-122.26277,69.0,4.248066578757805,14.419816893623683
22320,22320,1.0,1.0,1977,Warehouse,22320.0,98108.0,GREATER DUWAMISH,47.55374,-122.32498,62.0,1.4011829736136414,12.992407086595012
47105,47105,1.0,1.0,1976,Other,45320.0,98108.0,GREATER DUWAMISH,47.55297,-122.32472,67.0,5.855702096093982,16.141296615008592
28304,28304,2.0,1.0,1970,Small- and Mid-Sized Office,27185.0,98108.0,GREATER DUWAMISH,47.55196,-122.32518,67.0,2.2874714551839976,14.054030090673445
25872,25872,2.0,1.0,1969,Small- and Mid-Sized Office,24988.0,98108.0,GREATER DUWAMISH,47.55127,-122.32576,41.0,4.418358563921272,14.690710300809062
